"Actions","Acciones"
"An error occurred while marking notification as read.","Se produjo un error al marcar notificación como leída."
"An error occurred while marking the messages as read.","Se produjo un error al marcar los mensajes como leídos."
"An error occurred while removing messages.","Se produjo un error al eliminar mensajes."
"An error occurred while removing the message.","Se produjo un error al eliminar los mensajes."
"Are you sure?","¿Está seguro?"
"Date Added","Fecha agregada"
"Last Update","Última Actualización"
"Mark as Read","Marcar como leído"
"Mark as read","Marcar como leído"
"Message","Mensaje"
"Messages Inbox","Mensajes Bandeja de entrada"
"Notifications","Notificaciones"
"Please select messages.","Por favor, seleccione los mensajes."
"Read Details","Leer Detalles"
"Remove","Eliminar"
"Severity","Gravedad"
"Show List","Mostrar lista"
"Show Toolbar","Mostrar la barra de herramientas"
"The message has been marked as read.","El mensaje se ha marcado como leído."
"The message has been removed.","El mensaje ha sido eliminado."
"Total of %d record(s) have been marked as read.","Un total de %d registro(s) se ha(n) marcados como leídos."
"Total of %d record(s) have been removed.","Un total de %d registro(s) se ha(n) eliminado."
"Unable to proceed. Please, try again.","No se puede proceder. Por favor, inténtelo de nuevo."
"Update Frequency","Actualización de la frecuencia"
"Use HTTPS to Get Feed","Use HTTPS to Get Feed"
"Wrong message type","Wrong message type"
"critical","crítico"
"major","mayor"
"minor","menor"
"notice","aviso"
